Compound ID,measured log(solubility:mol/L),ESOL predicted log(solubility:mol/L),SMILES
Propylene,-1.08,-1.235,CC=C
p-t-Butylphenol,-2.41,-3.192,CC(C)(C)c1ccc(O)cc1
pyracarbolid,-2.56,-2.83,CC1=C(CCCO1)C(=O)Nc2ccccc2 
Pyrazinamide,-0.667,-0.674,NC(=O)c1cnccn1
RTI 9,-3.68,-3.784,O2c1ccccc1N(CC)C(=O)c3ccccc23 
Simetryn,-2.676,-2.689,CSc1nc(nc(n1)N(C)C)N(C)C
"Sparsomycin (3,8mg/ml)",-1.981,-1.57,CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O
Spironolactone,-4.173,-3.842,CC(=O)SC4CC1=CC(=O)CCC1(C)C5CCC2(C)C(CCC23CCC(=O)O3)C45
styrene oxide,-1.6,-1.826,C1OC1c2ccccc2 
Sulfallate,-3.39,-3.254,CCN(CC)C(=S)SCC(Cl)=C
t-Crotonaldehyde,0.32,-0.604,C/C=C/C=O
tetrachloroguaiacol,-4.02,-4.299,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl 
Tetrafluthrin,-7.321,-6.339,Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F
Tetrahydropyran ,-0.03,-0.978,C1CCOCC1
theobromine,-2.523,-1.05,Cn1cnc2n(C)c(=O)[nH]c(=O)c12 
Thiometon,-3.091,-3.323,CCSCCSP(=S)(OC)OC
thymine,-1.506,-0.78,Cc1c[nH]c(=O)[nH]c1=O 
t-Pentylbenzene,-4.15,-3.867,CC(C)(C)Cc1ccccc1
triamcinolone diacetate,-4.13,-3.876,CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O 
Trimazosin,-3.638,-3.958,COc2cc1c(N)nc(nc1c(OC)c2OC)N3CCN(CC3)C(=O)OCC(C)(C)O 
Urea,0.96,0.832,NC(=O)N
Valeraldehyde,-0.85,-1.103,CCCCC=O
vamidothion,1.144,-1.446,CNC(=O)C(C)SCCSP(=O)(OC)(OC)
Warfarin,-3.893,-3.913,CC(=O)CC(c1ccccc1)c3c(O)c2ccccc2oc3=O 
