Compound ID,measured log(solubility:mol/L),ESOL predicted log(solubility:mol/L),SMILES
p-Phenylphenol,-3.48,-3.701,Oc1ccc(cc1)c2ccccc2
pregnenolone,-4.65,-4.342,CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C 
Propiconazole,-3.493,-4.603,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl
Propionitrile,0.28,-0.269,CCC#N
Propoxur,-2.05,-2.409,CNC(=O)Oc1ccccc1OC(C)C
Pyrene,-6.176,-4.957,c1cc2ccc3cccc4ccc(c1)c2c34
Pyrolan,-2.09,-3.141,CN(C)C(=O)Oc1cc(C)nn1c2ccccc2
Quinoline,-1.3,-2.663,c1ccc2ncccc2c1
Quinonamid,-5.03,-3.988,ClC(Cl)CC(=O)NC2=C(Cl)C(=O)c1ccccc1C2=O
Quintozene,-5.82,-5.098,Clc1c(Cl)c(Cl)c(N(=O)=O)c(Cl)c1Cl
RTI 17,-4.706,-4.227,CCN2c1ccccc1N(C)C(=S)c3cccnc23 
RTI 19,-4.749,-4.007,CCN2c1ccccc1N(C)C(=O)c3ccccc23 
RTI 22,-4.871,-4.408,CCN2c1cc(N(C)C)cc(C)c1NC(=O)c3cccnc23 
Salicylamide,-1.836,-1.942,NC(=O)c1ccccc1O
Secobarbital,-2.356,-2.415,O=C1NC(=O)NC(=O)C1(C(C)CCC)CC=C
Siduron,-4.11,-3.779,CC1CCCCC1NC(=O)Nc2ccccc2
stadacaine,-3.84,-5.128,CCCCOc1ccc(C(=O)OCC)c(c1)N(CC)CC 
Sucrose,0.79,0.31,OCC2OC(OC1(CO)OC(CO)C(O)C1O)C(O)C(O)C2O 
sulfaguanidine,-1.99,-0.706,NC(=N)NS(=O)(=O)c1ccc(N)cc1 
Tetrahydrofurane ,0.49,-0.62,C1CCOC1
Thalidomide,-2.676,-1.944,O=C1N(C2CCC(=O)NC2=O)C(=O)c3ccccc13
thioanisole,-2.39,-2.87,c1ccccc1SC
Thiophenol ,-2.12,-2.758,Sc1ccccc1
triamcinolone acetonide,-4.31,-3.928,CC5(C)OC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O5)C(=O)CO 
Triethyl phosphate,0.43,-0.953,CCOP(=O)(OCC)OCC
