Compound ID,measured log(solubility:mol/L),ESOL predicted log(solubility:mol/L),SMILES
Chloramphenicol,-2.111,-2.613,OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)N(=O)=O
chloroacetamide,-0.02,-0.106,NC(=O)CCl 
Chloropham,-3.38,-3.544,CC(C)OC(=O)Nc1cccc(Cl)c1
chlorothiazide,-3.05,-1.752,NS(=O)(=O)c2cc1c(N=CNS1(=O)=O)cc2Cl 
Chlorotoluron,-3.46,-3.048,CN(C)C(=O)Nc1ccc(C)c(Cl)c1
Chlorthalidone,-3.451,-2.564,NS(=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23
Chlortoluron,-3.483,-3.048,CN(C)C(=O)Nc1ccc(C)c(Cl)c1
citral,-2.06,-2.579,CC(C)=CCCC(C)=CC(=O)
Clomazone,-2.338,-3.077,CC1(C)CON(Cc2ccccc2Cl)C1=O
Cyclohexene,-2.59,-2.16,C1CCC=CC1
Cyfluthrin,-7.337,-6.84,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2
Cyhalothrin,-8.176,-6.905,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2
Danazol,-5.507,-4.557,CC23Cc1cnoc1C=C2CCC4C3CCC5(C)C4CCC5(O)C#C
Diallate,-4.286,-3.827,CC(C)N(C(C)C)C(=O)SCC(=CCl)Cl
Diazepam,-3.754,-4.05,CN2C(=O)CN=C(c1ccccc1)c3cc(Cl)ccc23
dibutyl sebacate,-3.896,-4.726,CCCCOC(=O)CCCCCCCCC(=O)OCCCC
Dieldrin,-6.29,-4.533,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl
Dienochlor,-7.278,-7.848,ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl
Diethyl ether ,-0.09,-0.718,CCOCC
Digitoxin,-5.293,-6.114,CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CCC5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C 
dimetan,-0.85,-2.304,CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1 
dimethirimol,-2.24,-3.57,CCCCc1c(C)nc(nc1O)N(C)C 
dioctyl phthalate,-5.115,-7.148,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC 
Endrin,-6.18,-4.533,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl
Equilenin,-5.24,-3.927,CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O
estriol,-4.955,-3.858,CC34CCC1C(CCc2cc(O)ccc12)C3CC(O)C4O 
ethiofencarb,-2.09,-2.855,CCSCc1ccccc1OC(=O)NC 
Ethyl acetate,-0.04,-0.77,CCOC(=O)C
Ethyl benzoate ,-2.32,-2.775,CCOC(=O)c1ccccc1
Ethyl propyl ether,-0.66,-1.072,CCCOCC
Ethylcyclohexane,-4.25,-3.245,CCC1CCCCC1
Etomidate,-4.735,-3.359,CCOC(=O)c1cncn1C(C)c2ccccc2
Eugenol,-1.56,-2.675,COc1cc(CC=C)ccc1O
Fluoromethalone,-4.099,-3.507,CC1CC2C3CCC(O)(C(=O)C)C3(C)CC(O)C2(F)C4(C)C=CC(=O)C=C14
glucose,0.74,0.501,OCC1OC(O)C(O)C(O)C1O
Glycerol,1.12,0.688,OCC(O)CO
hematein,-2.7,-1.795,c1cc(O)c(O)c2OCC3(O)CC4=CC(=O)C(O)=CC4=C3c21
Heptachlor,-6.317,-5.26,ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl
hydantoin,-0.4,0.603,O=C1CNC(=O)N1 
Indan,-3.04,-3.057,C1Cc2ccccc2C1
Indapamide,-3.586,-4.345,CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O 
indazole,-2.16,-2.34,c2ccc1[nH]ncc1c2 
Inosine,-1.23,-0.834,OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23
Isopentyl formate,-1.52,-1.449,CC(C)CCOC=O
Isopropylbenzene ,-3.27,-3.265,CC(C)c1ccccc1
karbutilate,-2.93,-2.655,CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1 
kebuzone,-3.27,-2.645,CC(=O)CCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3
Lindane,-4.64,-4.009,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
Linuron,-3.592,-3.581,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1
Methanol,1.57,0.441,CO
metharbital,-2.23,-1.658,CCC1(CC)C(=O)NC(=O)N(C)C1=O 
Methocarbamol,-0.985,-1.428,COc1ccccc1OCC(O)COC(N)=O
Methoxsalen,-3.664,-3.25,COc2c1occc1cc3ccc(=O)oc23 
Methyl decanoate,-4.69,-3.316,CCCCCCCCCC(=O)OC
Methyl hexanoate,-1.87,-1.899,CCCCCC(=O)OC
methyl nicotinate,-0.46,-1.621,COC(=O)c1cccnc1 
Methyl pentanoate,-1.36,-1.545,CCCC(=O)OCC
Methyl propyl ether ,-0.39,-0.718,CCCOC
Methylcyclohexane ,-3.85,-2.891,CC1CCCCC1
Methyldymron,-3.35,-3.863,CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2
Metranidazole,-1.26,-0.859,Cc1ncc(N(=O)=O)n1CCO 
Metronidazole,-1.22,-0.859,Cc1ncc(N(=O)=O)n1CCO
Minoxidil,-1.989,-1.809,Nc1cc(nc(N)n1=O)N2CCCCC2 
m-Methylaniline,-0.85,-1.954,Cc1cccc(N)c1
"N,N-Diethylaniline",-3.03,-3.16,CCN(CC)c1ccccc1
"N,N-Dimethylaniline",-1.92,-2.542,CN(C)c1ccccc1
Nitrapyrin,-3.76,-3.833,Clc1cccc(n1)C(Cl)(Cl)Cl
Nitroethane,-0.22,-0.462,CCN(=O)=O
norbormide,-3.931,-4.238,OC(C1=CC2C5C(C1C2=C(c3ccccc3)c4ccccn4)C(=O)NC5=O)(c6ccccc6)c7ccccn7 
o-Chloroaniline,-1.52,-2.392,Nc1ccccc1Cl
Octane,-5.24,-3.324,CCCCCCCC
o-Nitrotoluene,-2.33,-2.589,Cc1ccccc1N(=O)=O
p-Chloroiodobenzene,-4.03,-4.384,Clc1ccc(I)cc1
Pentachlorobenzene,-5.65,-5.168,Clc1cc(Cl)c(Cl)c(Cl)c1Cl
Pentamethylbenzene,-4,-3.993,Cc1cc(C)c(C)c(C)c1C
Perylene,-8.804,-6.007,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54
phenylbutazone,-3.81,-4.076,CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3 
Phenylmethanol,-0.4,-1.699,OCc1ccccc1
Phthalonitrile,-2.38,-1.717,N#Cc1ccccc1C#N
p-Hydroxybenzaldehyde ,-0.96,-2.003,Oc1ccc(C=O)cc1
p-Methylaniline ,-1.21,-1.954,Cc1ccc(N)cc1
Prednisolone,-3.18,-2.974,CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C2CCC1(O)C(=O)CO
Prometryn,-4.1,-3.693,CSc1nc(NC(C)C)nc(NC(C)C)n1
Propane,-1.94,-1.553,CCC
Propazine,-4.43,-3.329,CC(C)Nc1nc(Cl)nc(NC(C)C)n1
Propyl acetate,-0.72,-1.125,CCCOC(=O)C
Propyl propanoate,-1.34,-1.545,CCCCC(=O)OC
Pteridine,0.02,-0.906,c2cnc1ncncc1n2
p-Xylene ,-2.77,-3.035,Cc1ccc(C)cc1
Pyridazine,1.1,-0.619,c1ccnnc1
Rotenone,-4.42,-5.246,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C 
RTI 12,-4.114,-3.446,CCN2c1nc(Cl)ccc1N(C)C(=O)c3cccnc23 
RTI 23,-5.153,-4.228,CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23 
RTI 24,-5.36,-4.423,CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 
RTI 3,-3.043,-3.049,O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23 
RTI 6,-3.36,-3.335,CCN2c1nc(N(C)(CCO))ccc1NC(=O)c3cccnc23 
Stanolone,-4.743,-3.882,CC34CCC1C(CCC2CC(=O)CCC12C)C3CCC4O 
Styrene,-2.82,-2.85,C=Cc1ccccc1
Sulfanilamide,-1.34,-0.954,Nc1ccc(cc1)S(N)(=O)=O
Tetrabromomethane,-3.14,-4.063,BrC(Br)(Br)Br
Tetradecane,-7.96,-5.45,CCCCCCCCCCCCCC
thiofanox,-1.62,-2.7,CNC(=O)ON=C(CSC)C(C)(C)C 
Thiophene,-1.33,-2.232,c1ccsc1
Toluene ,-2.21,-2.713,Cc1ccccc1
Trichlorfon,-0.22,-1.866,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
