key,name,smiles,mpC,csid,link,source,count,min,max,range
673,"1,2-dibromoethane",C(CBr)Br,10,7551,http://www.alfa.com/en/GP100W.pgm?DSSTK=A12766,Alfa Aesar,3,9.9,10,0.1
16055,Pentadecane,CCCCCCCCCCCCCCC,9.9,11885,http://msds.chem.ox.ac.uk/,academic website,4,9.9,10,0.1
14481,diisopropyl_fumarate,CC(C)OC(=O)/C=C/C(=O)OC(C)C,2,4512524,http://de.wikipedia.org/wiki/Beilsteins_Handbuch_der_Organischen_Chemie,Beilstein F. K.; Beilsteins Handbuch der Organischen Chemie. Springer; Berlin; 1972.,2,2,2.1,0.1
2574,2-ethylpyridine,CCc1ccccn1,-63,7242,http://www.alfa.com/en/GP100W.pgm?DSSTK=A17352,Alfa Aesar,2,-63.1,-63,0.1
294,1-bromo-3-chloropropane,C(CCl)CBr,-59,7715,http://www.alfa.com/en/GP100W.pgm?DSSTK=A11395,Alfa Aesar,2,-59,-58.9,0.1
13721,"1,3-dimethyl-4-ethylbenzene",Cc1cc(C)ccc1CC,-63,12829,http://www.amazon.com/dp/B002IYRJWI,American Petroleum Institute. Research Project 44; Selected Values of Properties of Hydrocarbons and Related Compounds. Texas A & M University; College Station; TX; 1973.,2,-63,-62.9,0.1
14059,1-nonanethiol,CCCCCCCCCS,-20,14349,http://www.amazon.com/dp/B002IYRJWI,American Petroleum Institute. Research Project 44; Selected Values of Properties of Hydrocarbons and Related Compounds. Texas A & M University; College Station; TX; 1973.,2,-20.1,-20,0.1
16126,Sulfuryl dichloride,ClS(Cl)(=O)=O,-54,23050,http://msds.chem.ox.ac.uk/,academic website,2,-54.1,-54,0.1
13422,1-methyl-1-ethylcyclopentane,CC1(CC)CCCC1,-144,26072,http://www.amazon.com/dp/B002IYRJWI,American Petroleum Institute. Research Project 44; Selected Values of Properties of Hydrocarbons and Related Compounds. Texas A & M University; College Station; TX; 1973.,2,-144,-143.8,0.2
1134,"2,2-difluoroethanol",C(C(F)F)O,-28,119963,http://www.alfa.com/en/GP100W.pgm?DSSTK=B22201,Alfa Aesar,2,-28.2,-28,0.2
8209,o-xylene,Cc1ccccc1C,-25,6967,http://www.alfa.com/en/GP100W.pgm?DSSTK=32471,Alfa Aesar,3,-25.2,-25,0.2
14969,"1,4-Dioxane",C1COCCO1,11.8,29015,http://msds.chem.ox.ac.uk/,academic website,3,11.8,12,0.2
3303,"3,4-dichlorotoluene",Cc1ccc(c(c1)Cl)Cl,-15,21106517,http://www.alfa.com/en/GP100W.pgm?DSSTK=A10763,Alfa Aesar,3,-15.2,-15,0.2
14944,"1,3-Dichlorobenzene",Clc1cccc(Cl)c1,-24.8,13857694,http://msds.chem.ox.ac.uk/,academic website,4,-25,-24.8,0.2
3064,2-tert-butylphenol,CC(C)(C)c1ccccc1O,-7,6657,http://www.alfa.com/en/GP100W.pgm?DSSTK=L07294,Alfa Aesar,2,-7,-6.8,0.2
15207,"2,6-Di-tert-butylpyridine",CC(C)(C)c1cccc(n1)C(C)(C)C,2,61785,http://msds.chem.ox.ac.uk/,academic website,2,2,2.2,0.2
15926,Morpholine,C1CNCCO1,-5,13837537,http://msds.chem.ox.ac.uk/,academic website,3,-5,-4.8,0.2
7182,ethyl isobutyrate,CCOC(=O)C(C)C,-88,7065,http://www.alfa.com/en/GP100W.pgm?DSSTK=A12966,Alfa Aesar,2,-88.2,-88,0.2
7369,isopentyl butyrate,CCCC(=O)OCCC(C)C,-73,7507,http://www.alfa.com/en/GP100W.pgm?DSSTK=B21103,Alfa Aesar,2,-73.2,-73,0.2
8269,phenylacetylene,C#Cc1ccccc1,-45,10364,http://www.alfa.com/en/GP100W.pgm?DSSTK=A12139,Alfa Aesar,2,-45,-44.8,0.2
511,"1,4-cyclohexadiene",C1C=CCC=C1,-49,11838,http://www.alfa.com/en/GP100W.pgm?DSSTK=L07337,Alfa Aesar,2,-49.2,-49,0.2
15798,Ethyl acrylate,C=CC(=O)OCC,-71,8490,http://msds.chem.ox.ac.uk/,academic website,4,-71.2,-71,0.2
9004,valnoctamide,CCC(C)C(CC)C(N)=O,114,18974,http://dx.doi.org/10.1021/ci020280x,Bergstrom C. A. S.; Norinder U.; Luthman K.; Artursson P. Molecular Descriptors Influencing Melting Point and Their Role in Classification of Solid Drugs. J. Chem. Inf. Comput. Sci.; (Article); 2003; 43(4); 1177-1450,2,113.75,114,0.25
13451,"1,1-dimethylcyclohexane",CC1(C)CCCCC1,-33,11062,http://www.amazon.com/dp/B002IYRJWI,American Petroleum Institute. Research Project 44; Selected Values of Properties of Hydrocarbons and Related Compounds. Texas A & M University; College Station; TX; 1973.,2,-33.3,-33,0.3
13724,"1,4-dimethyl-2-ethylbenzene",Cc1ccc(C)cc1CC,-54,14888,http://www.amazon.com/dp/B002IYRJWI,American Petroleum Institute. Research Project 44; Selected Values of Properties of Hydrocarbons and Related Compounds. Texas A & M University; College Station; TX; 1973.,2,-54,-53.7,0.3
13628,"2,2,5-trimethylhexane",CC(C)CCC(C)(C)C,-106,17976,http://www.amazon.com/dp/B002IYRJWI,American Petroleum Institute. Research Project 44; Selected Values of Properties of Hydrocarbons and Related Compounds. Texas A & M University; College Station; TX; 1973.,2,-106,-105.7,0.3
13844,"2,2,3,4,4-pentamethylpentane",CC(C)(C)C(C)C(C)(C)C,-39,452969,http://www.amazon.com/dp/B002IYRJWI,American Petroleum Institute. Research Project 44; Selected Values of Properties of Hydrocarbons and Related Compounds. Texas A & M University; College Station; TX; 1973.,2,-39,-38.7,0.3
13280,2-methyl-3-hexyne,CCC#CC(C)C,-117,454272,http://www.amazon.com/dp/B002IYRJWI,American Petroleum Institute. Research Project 44; Selected Values of Properties of Hydrocarbons and Related Compounds. Texas A & M University; College Station; TX; 1973.,2,-117,-116.7,0.3
13818,1-chloro-2-ethylbenzene,CCc1ccccc1Cl,-83,21111805,http://www.questia.com/library/book/physical_properties_of_chemical_compounds_by_robert_rickert_dreisbach.jsp,Dreisbach R. R. Physical Properties of Chemical Compounds; Vol. I; American Chemical Society; Washington; 1955.,2,-83,-82.7,0.3
8776,benzarone,CCc2oc1ccccc1c2C(=O)c3ccc(O)cc3,124,224468,http://dx.doi.org/10.1021/ci020280x,Bergstrom C. A. S.; Norinder U.; Luthman K.; Artursson P. Molecular Descriptors Influencing Melting Point and Their Role in Classification of Solid Drugs. J. Chem. Inf. Comput. Sci.; (Article); 2003; 43(4); 1177-1222,3,124,124.3,0.3
13936,benzyl_acetate,CC(=O)OCc1ccccc1,-51,13850405,http://www.amazon.com/dp/B003XEQTLE,Aldrich Chemical Company; Aldrich Catalog-Handbook of Fine Chemicals; Milwaukee; WI; 1984.,3,-51.3,-51,0.3
15719,Diethyl ether,CCOCC,-116,3168,http://msds.chem.ox.ac.uk/,academic website,4,-116.3,-116,0.3
14668,2-methylheptadecane,CC(C)CCCCCCCCCCCCCCC,6,14530,http://www.amazon.com/dp/B002IYRJWI,American Petroleum Institute. Research Project 44; Selected Values of Properties of Hydrocarbons and Related Compounds. Texas A & M University; College Station; TX; 1973.,2,5.7,6,0.3
14566,1-chlorododecane,CCCCCCCCCCCCCl,-9,7900,http://www.questia.com/library/book/physical_properties_of_chemical_compounds_by_robert_rickert_dreisbach.jsp,Dreisbach R. R. Physical Properties of Chemical Compounds; Vol. III; American Chemical Society; Washington; 1961.,2,-9.3,-9,0.3
480,"1,4-difluoro-2-nitrobenzene",c1cc(c(cc1F)[N+](=O)[O-])F,-12,61086,http://www.alfa.com/en/GP100W.pgm?DSSTK=A11807,Alfa Aesar,2,-12,-11.7,0.3
15702,Decane,CCCCCCCCCC,-30,14840,http://msds.chem.ox.ac.uk/,academic website,6,-30,-29.7,0.3
8177,o-benzoic sulfimide,c1ccc2c(c1)C(=O)NS2(=O)=O,229,4959,http://www.alfa.com/en/GP100W.pgm?DSSTK=B23938,Alfa Aesar,2,229,229.3,0.3
8717,valeric acid,CCCCC(=O)O,-34,7701,http://www.alfa.com/en/GP100W.pgm?DSSTK=A16238,Alfa Aesar,7,-34,-33.66,0.34
15806,Ethylene,C=C,-169,6085,http://msds.chem.ox.ac.uk/,academic website,4,-169.35,-169,0.35
8070,N-hexyl formate,CCCCCCOC=O,-63,55123,http://www.alfa.com/en/GP100W.pgm?DSSTK=L06226,Alfa Aesar,2,-63,-62.6,0.4
15818,Glycerol,OCC(O)CO,17.8,733,http://msds.chem.ox.ac.uk/,academic website,3,17.8,18.2,0.4
13939,butyl_phenyl_ether,CCCCOc1ccccc1,-19,13673,http://www.amazon.com/dp/B003XEQTLE,Aldrich Chemical Company; Aldrich Catalog-Handbook of Fine Chemicals; Milwaukee; WI; 1984.,3,-19.4,-19,0.4
16101,Pyridine,c1ccccn1,-42,1020,http://msds.chem.ox.ac.uk/,academic website,4,-42,-41.6,0.4
624,"1,3,5-triisopropylbenzene",CC(C)c1cc(cc(c1)C(C)C)C(C)C,-7,12329,http://www.alfa.com/en/GP100W.pgm?DSSTK=A13453,Alfa Aesar,2,-7.4,-7,0.4
13850,"2,2,5,5-tetramethylhexane",CC(C)(C)CCC(C)(C)C,-13,13448,http://www.amazon.com/dp/B002IYRJWI,American Petroleum Institute. Research Project 44; Selected Values of Properties of Hydrocarbons and Related Compounds. Texas A & M University; College Station; TX; 1973.,2,-13,-12.6,0.4
15705,Decylbenzene,CCCCCCCCCCc1ccccc1,-14,7430,http://msds.chem.ox.ac.uk/,academic website,3,-14.4,-14,0.4
3832,3-chloroaniline,c1cc(cc(c1)Cl)N,-10,13869451,http://www.alfa.com/en/GP100W.pgm?DSSTK=A12019,Alfa Aesar,3,-10.4,-10,0.4
15301,2-Methylprop-1-ene,C=C(C)C,-140,7957,http://msds.chem.ox.ac.uk/,academic website,2,-140.4,-140,0.4
6947,di-n-propyl disulfide,CCCSSCCC,-86,11871,http://www.alfa.com/en/GP100W.pgm?DSSTK=L09881,Alfa Aesar,2,-86,-85.6,0.4
13999,o-chlorocumene,CC(C)c1ccccc1Cl,-74,15532,http://www.questia.com/library/book/physical_properties_of_chemical_compounds_by_robert_rickert_dreisbach.jsp,Dreisbach R. R. Physical Properties of Chemical Compounds; Vol. I; American Chemical Society; Washington; 1955.,2,-74.4,-74,0.4
13429,isopropylcyclopentane,CC(C)C1CCCC1,-111,18604,http://www.amazon.com/dp/B002IYRJWI,American Petroleum Institute. Research Project 44; Selected Values of Properties of Hydrocarbons and Related Compounds. Texas A & M University; College Station; TX; 1973.,2,-111.4,-111,0.4
141,1-iodopentane,CCCCCI,-86,11830,http://www.alfa.com/en/GP100W.pgm?DSSTK=B20781,Alfa Aesar,3,-86,-85.6,0.4
15274,2-Methoxy-2-methylpropane,CC(C)(C)OC,-109,14672,http://msds.chem.ox.ac.uk/,academic website,4,-109,-108.6,0.4
13139,cis-2-pentene,CC=C/CC,-151,4483638,http://www.amazon.com/dp/B002IYRJWI,American Petroleum Institute. Research Project 44; Selected Values of Properties of Hydrocarbons and Related Compounds. Texas A & M University; College Station; TX; 1973.,2,-151.41,-151,0.41
13277,1-methylcyclohexene,CC=1CCCCC=1,-120,11086,http://www.amazon.com/dp/B002IYRJWI,American Petroleum Institute. Research Project 44; Selected Values of Properties of Hydrocarbons and Related Compounds. Texas A & M University; College Station; TX; 1973.,3,-120.45,-120,0.45
8280,"phloroglucinol, anhydrous",c1c(cc(cc1O)O)O,218,352,http://www.alfa.com/en/GP100W.pgm?DSSTK=B25502,Alfa Aesar,2,218,218.5,0.5
15220,2-Amino-1-phenylethanol,OC(CN)c1ccccc1,57,975,http://msds.chem.ox.ac.uk/,academic website,2,56.5,57,0.5
4663,4-biphenylacetic acid,c1ccc(cc1)c2ccc(cc2)CC(=O)O,161,3215,http://www.alfa.com/en/GP100W.pgm?DSSTK=A11749,Alfa Aesar,2,160.5,161,0.5
8216,papaverine,COc1ccc(cc1OC)Cc2c3cc(c(cc3ccn2)OC)OC,147,4518,http://www.alfa.com/en/GP100W.pgm?DSSTK=L04152,Alfa Aesar,2,147,147.5,0.5
14996,"1-Amino-2-methyl-9,10-anthraquinone",O=C3c1ccccc1C(=O)c2c3ccc(C)c2N,205,6447,http://msds.chem.ox.ac.uk/,academic website,2,205,205.5,0.5
4120,3-methylsalicylic acid,Cc1cccc(c1O)C(=O)O,165,6482,http://www.alfa.com/en/GP100W.pgm?DSSTK=L15825,Alfa Aesar,2,165,165.5,0.5
14933,"1,3,5-Trichloro-2-methoxybenzene",COc1c(Cl)cc(Cl)cc1Cl,61,6620,http://msds.chem.ox.ac.uk/,academic website,2,61,61.5,0.5
15163,"2,4,6-Trinitrophenol",O=[N+]([O-])c1cc(cc([N+]([O-])=O)c1O)[N+]([O-])=O,122,6688,http://msds.chem.ox.ac.uk/,academic website,2,122,122.5,0.5
6837,diethyl disulfide,CCSSCC,-102,7786,http://www.alfa.com/en/GP100W.pgm?DSSTK=L10065,Alfa Aesar,2,-102,-101.5,0.5
7900,N-acetyl-N'-phenylhydrazine,CC(=O)NNc1ccccc1,130,7951,http://www.alfa.com/en/GP100W.pgm?DSSTK=A14446,Alfa Aesar,2,129.5,130,0.5
28094,ethyl p-hydroxybenzoate,O=C(OCC)c1ccc(O)cc1,116,8127,http://www.aapspharmscitech.org/view.asp?art=pt070126,Sepassi K; Yalkowsky SH; AAPS PharmSciTech; 7(1); E1-E8 (2006),2,115.5,116,0.5
1101,"2,2,4-trimethyl-1,3-pentanediol",CC(C)C(C(C)(C)CO)O,52,8602,http://www.alfa.com/en/GP100W.pgm?DSSTK=B21328,Alfa Aesar,2,51.5,52,0.5
3289,"3,4-dichlorobenzotrifluoride",c1cc(c(cc1C(F)(F)F)Cl)Cl,-12,9109,http://www.alfa.com/en/GP100W.pgm?DSSTK=A15098,Alfa Aesar,2,-12.5,-12,0.5
8059,N-heptacosane,CCCCCCCCCCCCCCCCCCCCCCCCCCC,59,11146,http://www.alfa.com/en/GP100W.pgm?DSSTK=L07796,Alfa Aesar,2,59,59.5,0.5
15524,"5-Nitro-1,2-dihydroacenaphthylene",[O-][N+](=O)c1ccc2CCc3cccc1c23,103.5,11276,http://msds.chem.ox.ac.uk/,academic website,2,103,103.5,0.5
6674,citraconic anhydride,CC1=CC(=O)OC1=O,8,11517,http://www.alfa.com/en/GP100W.pgm?DSSTK=L05238,Alfa Aesar,2,7.5,8,0.5
5076,4-ethylbenzoic acid,CCc1ccc(cc1)C(=O)O,113,11589,http://www.alfa.com/en/GP100W.pgm?DSSTK=A10235,Alfa Aesar,2,112.5,113,0.5
13241,methyl_butyl_ether,CCCCOC,-115,11833,http://www.amazon.com/dp/B002IYRJWI,American Petroleum Institute. Research Project 44; Selected Values of Properties of Hydrocarbons and Related Compounds. Texas A & M University; College Station; TX; 1973.,2,-115.5,-115,0.5
13715,1-chloroheptane,CCCCCCCCl,-70,11865,http://www.questia.com/library/book/physical_properties_of_chemical_compounds_by_robert_rickert_dreisbach.jsp,Dreisbach R. R. Physical Properties of Chemical Compounds; Vol. III; American Chemical Society; Washington; 1961.,2,-70,-69.5,0.5
8680,triphenylphosphine oxide,c1ccc(cc1)P(=O)(c2ccccc2)c3ccccc3,156,12549,http://www.alfa.com/en/GP100W.pgm?DSSTK=A12455,Alfa Aesar,2,156,156.5,0.5
100,1-naphthyl acetate,CC(=O)Oc1cccc2c1cccc2,45,12691,http://www.alfa.com/en/GP100W.pgm?DSSTK=A17482,Alfa Aesar,2,44.5,45,0.5
13258,methyl_isopropyl_sulfide,CC(C)SC,-102,14512,http://www.amazon.com/dp/B002IYRJWI,American Petroleum Institute. Research Project 44; Selected Values of Properties of Hydrocarbons and Related Compounds. Texas A & M University; College Station; TX; 1973.,2,-102,-101.5,0.5
3716,3'-bromoacetophenone,CC(=O)c1cccc(c1)Br,8,15644,http://www.alfa.com/en/GP100W.pgm?DSSTK=A12454,Alfa Aesar,2,7.5,8,0.5
14778,(2-Chlorobenzylidene)malononitrile,Clc1ccccc1/C=C(C#N)C#N,95,16644,http://msds.chem.ox.ac.uk/,academic website,2,95,95.5,0.5
7212,ethyl trimethylacetate,CCOC(=O)C(C)(C)C,-90,18688,http://www.alfa.com/en/GP100W.pgm?DSSTK=A13100,Alfa Aesar,2,-90,-89.5,0.5
4909,4-chloro-3-methylaniline,Cc1cc(ccc1Cl)N,84,22006,http://www.alfa.com/en/GP100W.pgm?DSSTK=B22234,Alfa Aesar,2,83.5,84,0.5
13913,"1,2,4-trimethyl-5-ethylbenzene",Cc1cc(C)c(C)cc1CC,-14,26801,http://www.amazon.com/dp/B002IYRJWI,American Petroleum Institute. Research Project 44; Selected Values of Properties of Hydrocarbons and Related Compounds. Texas A & M University; College Station; TX; 1973.,2,-14,-13.5,0.5
4257,4-(4-hydroxy-3-methoxyphenyl)-2-butanone,CC(=O)CCc1ccc(c(c1)OC)O,41,28952,http://www.alfa.com/en/GP100W.pgm?DSSTK=B25150,Alfa Aesar,2,40.5,41,0.5
14724,"1,2,2,3-tetrabromopropane",BrC(Br)(CBr)CBr,11,37466,http://www.questia.com/library/book/physical_properties_of_chemical_compounds_by_robert_rickert_dreisbach.jsp,Dreisbach R. R. Physical Properties of Chemical Compounds; Vol. III; American Chemical Society; Washington; 1961.,2,10.5,11,0.5
6743,dansyl amide,CN(C)c1cccc2c1cccc2S(=O)(=O)N,220,58587,http://www.alfa.com/en/GP100W.pgm?DSSTK=A11449,Alfa Aesar,2,219.5,220,0.5
1653,"2,5-dimethyl-1-phenylpyrrole-3-carboxaldehyde",Cc1cc(c(n1c2ccccc2)C)C=O,89,59886,http://www.alfa.com/en/GP100W.pgm?DSSTK=L05836,Alfa Aesar,2,88.5,89,0.5
1085,"2,2,2-trifluoroacetamide",C(=O)(C(F)(F)F)N,73,61036,http://www.alfa.com/en/GP100W.pgm?DSSTK=A14451,Alfa Aesar,2,72.5,73,0.5
1408,"2,4'-bipyridine",c1ccnc(c1)c2ccncc2,61,61763,http://www.alfa.com/en/GP100W.pgm?DSSTK=H27366,Alfa Aesar,2,61,61.5,0.5
5337,4-methoxybenzophenone,COc1ccc(cc1)C(=O)c2ccccc2,62,62361,http://www.alfa.com/en/GP100W.pgm?DSSTK=B23123,Alfa Aesar,2,61.5,62,0.5
5070,4-ethoxyphenylacetic acid,CCOc1ccc(cc1)CC(=O)O,89,70988,http://www.alfa.com/en/GP100W.pgm?DSSTK=A10129,Alfa Aesar,2,88.5,89,0.5
14311,1-ethyl-3-phenylbenzene,CCc1cccc(c1)c2ccccc2,-28,72051,http://www.amazon.com/dp/B002IYRJWI,American Petroleum Institute. Research Project 44; Selected Values of Properties of Hydrocarbons and Related Compounds. Texas A & M University; College Station; TX; 1973.,2,-28,-27.5,0.5
15042,"1-Hydroxypyrrolidine-2,5-dione",O=C1CCC(=O)N1O,96.5,72416,http://msds.chem.ox.ac.uk/,academic website,2,96.5,97,0.5
4181,3-phenoxypropionic acid,c1ccc(cc1)OCCC(=O)O,98,73626,http://www.alfa.com/en/GP100W.pgm?DSSTK=A17842,Alfa Aesar,2,97.5,98,0.5
28373,p-toluenesulfonylmethyl isocyanide,O=S(=O)(c1ccc(cc1)C)C[N+]#[C-],112.5,142204,http://www.alfa.com/content/msds/USA/A14312.pdf,Alfa Aesar,2,112,112.5,0.5
15376,3-Fluoro-L-tyrosine,Fc1cc(C[C@H](N)C(=O)O)ccc1O,260.5,558483,http://msds.chem.ox.ac.uk/,academic website,2,260.5,261,0.5
1761,"2,6-dichlorothiobenzamide",c1cc(c(c(c1)Cl)C(=S)N)Cl,151,2016563,http://www.alfa.com/en/GP100W.pgm?DSSTK=H26636,Alfa Aesar,2,151,151.5,0.5
13311,3-methyl-cis-2-hexene,CC=C(C)CCC,-119,4512637,http://www.amazon.com/dp/B002IYRJWI,American Petroleum Institute. Research Project 44; Selected Values of Properties of Hydrocarbons and Related Compounds. Texas A & M University; College Station; TX; 1973.,2,-119,-118.5,0.5
1483,"2,4-dichlorotoluene",Cc1ccc(cc1Cl)Cl,-13,21111905,http://www.alfa.com/en/GP100W.pgm?DSSTK=B24406,Alfa Aesar,2,-13.5,-13,0.5
1125,"2,2-dichloroacetophenone",c1ccc(cc1)C(=O)C(Cl)Cl,21,21169500,http://www.alfa.com/en/GP100W.pgm?DSSTK=B23475,Alfa Aesar,2,20.5,21,0.5
2788,2-ketoglutaric acid,C(CC(=O)O)C(=O)C(=O)O,115,50,http://www.alfa.com/en/GP100W.pgm?DSSTK=A10256,Alfa Aesar,3,115,115.5,0.5
8842,irbesartan,CCCCC2=NC1(CCCC1)C(=O)N2Cc3ccc(cc3)c4ccccc4c5nnn[nH]5,180,3618,http://dx.doi.org/10.1021/ci020280x,Bergstrom C. A. S.; Norinder U.; Luthman K.; Artursson P. Molecular Descriptors Influencing Melting Point and Their Role in Classification of Solid Drugs. J. Chem. Inf. Comput. Sci.; (Article); 2003; 43(4); 1177-1288,3,180,180.5,0.5
8890,pridinol,OC(CCN1CCCCC1)(c2ccccc2)c3ccccc3,120,4735,http://dx.doi.org/10.1021/ci020280x,Bergstrom C. A. S.; Norinder U.; Luthman K.; Artursson P. Molecular Descriptors Influencing Melting Point and Their Role in Classification of Solid Drugs. J. Chem. Inf. Comput. Sci.; (Article); 2003; 43(4); 1177-1336,3,120,120.5,0.5
15894,Methanedithione,S=C=S,-112,6108,http://msds.chem.ox.ac.uk/,academic website,3,-112,-111.5,0.5
16158,Tribromoacetic acid,BrC(Br)(Br)C(=O)O,131.5,6175,http://msds.chem.ox.ac.uk/,academic website,3,131.5,132,0.5
13148,acrylamide,C=CC(N)=O,84,6331,http://www.amazon.com/dp/B003XEQTLE,Aldrich Chemical Company; Aldrich Catalog-Handbook of Fine Chemicals; Milwaukee; WI; 1984.,3,84,84.5,0.5
15602,Benzenesulfonyl chloride,O=S(=O)(Cl)c1ccccc1,15,7091,http://msds.chem.ox.ac.uk/,academic website,3,14.5,15,0.5
16187,Triphenyl phosphate,O=P(Oc1ccccc1)(Oc2ccccc2)Oc3ccccc3,50.5,7988,http://msds.chem.ox.ac.uk/,academic website,3,50,50.5,0.5
15371,3-Chloro-4-fluoroaniline,Nc1cc(Cl)c(F)cc1,45.5,9327,http://msds.chem.ox.ac.uk/,academic website,3,45.5,46,0.5
4102,3-methylbiphenyl,Cc1cccc(c1)c2ccccc2,5,12045,http://www.alfa.com/en/GP100W.pgm?DSSTK=L01006,Alfa Aesar,3,4.5,5,0.5
8131,N-pentylcyclohexane,CCCCCC1CCCCC1,-58,19110,http://www.alfa.com/en/GP100W.pgm?DSSTK=B21326,Alfa Aesar,3,-58,-57.5,0.5
14299,m-bromobenzonitrile,N#Cc1cc(Br)ccc1,39,21865,http://www.amazon.com/dp/B003XEQTLE,Aldrich Chemical Company; Aldrich Catalog-Handbook of Fine Chemicals; Milwaukee; WI; 1984.,3,39,39.5,0.5
15258,2-Fluorobiphenyl,Fc2ccccc2c1ccccc1,73.5,60900,http://msds.chem.ox.ac.uk/,academic website,3,73.5,74,0.5
15107,2-(Trifluoromethyl)phenol,FC(F)(F)c1ccccc1O,45.5,61273,http://msds.chem.ox.ac.uk/,academic website,3,45.5,46,0.5
15116,"2,2,2-Trifluoroethanol",FC(F)(F)CO,-43.5,21106169,http://msds.chem.ox.ac.uk/,academic website,3,-44,-43.5,0.5
13686,3-cyanobenzaldehyde,O=Cc1cccc(C#N)c1,77,21112367,http://www.amazon.com/dp/B003XEQTLE,Aldrich Chemical Company; Aldrich Catalog-Handbook of Fine Chemicals; Milwaukee; WI; 1984.,3,76.5,77,0.5
8815,famotidine,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,163,3208,http://dx.doi.org/10.1021/ci020280x,Bergstrom C. A. S.; Norinder U.; Luthman K.; Artursson P. Molecular Descriptors Influencing Melting Point and Their Role in Classification of Solid Drugs. J. Chem. Inf. Comput. Sci.; (Article); 2003; 43(4); 1177-1261,4,163,163.5,0.5
15307,2-Methylpropanenitrile,CC(C)C#N,-72,6311,http://msds.chem.ox.ac.uk/,academic website,4,-72,-71.5,0.5
15919,Methyl propionate,CCC(=O)OC,-88,10653,http://msds.chem.ox.ac.uk/,academic website,4,-88,-87.5,0.5
15681,Cyclohexane,C1CCCCC1,7,7787,http://msds.chem.ox.ac.uk/,academic website,5,6.45,7,0.55
2493,2-chloropropene,CC(=C)Cl,-138,10730,http://www.alfa.com/en/GP100W.pgm?DSSTK=L12374,Alfa Aesar,2,-138,-137.4,0.6
14646,"1,2,4,5-tetraisopropylbenzene",CC(C)c1cc(c(cc1C(C)C)C(C)C)C(C)C,119,62663,http://de.wikipedia.org/wiki/Beilsteins_Handbuch_der_Organischen_Chemie,Beilstein F. K.; Beilsteins Handbuch der Organischen Chemie. Springer; Berlin; 1972.,2,118.4,119,0.6
2665,2-fluoroethanol,C(CF)O,-27,9354,http://www.alfa.com/en/GP100W.pgm?DSSTK=L01735,Alfa Aesar,2,-27,-26.4,0.6
15666,Chloroform,ClC(Cl)Cl,-63,5977,http://msds.chem.ox.ac.uk/,academic website,11,-63.6,-63,0.6
311,1-bromo-2-chlorobenzene,c1ccc(c(c1)Cl)Br,-13,12230,http://www.alfa.com/en/GP100W.pgm?DSSTK=A11782,Alfa Aesar,2,-13,-12.3,0.7
3740,3-bromoquinoline,c1ccc2c(c1)cc(cn2)Br,14,20124,http://www.alfa.com/en/GP100W.pgm?DSSTK=A14573,Alfa Aesar,2,13.3,14,0.7
